suburb,state,latitude,longitude,index_right,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,final_region,was_different
Adilabad,Andhra Pradesh,19.256979179003075,78.9719953809062,0.0,Adilabad,Andhra Pradesh,28.0,1.0,532.0,Adilabad,False
Agra,Uttar Pradesh,27.03797123391708,78.07933939422655,1.0,Agra,Uttar Pradesh,9.0,15.0,146.0,Agra,False
Ahmadabad,Gujarat,22.71164784451044,72.19613823184952,2.0,Ahmadabad,Gujarat,24.0,7.0,474.0,Ahmadabad,False
Ahmadnagar,Maharashtra,19.204835385732707,74.67651655890515,3.0,Ahmadnagar,Maharashtra,27.0,26.0,522.0,Ahmadnagar,False
Aizawl,Mizoram,23.81135126955893,92.88915797589664,4.0,Aizawl,Mizoram,15.0,3.0,283.0,Aizawl,False
Ajmer,Rajasthan,26.23093478014917,74.77519789080098,5.0,Ajmer,Rajasthan,8.0,21.0,119.0,Ajmer,False
Akola,Maharashtra,20.74941653626052,77.05327985117816,6.0,Akola,Maharashtra,27.0,5.0,501.0,Akola,False
Alappuzha,Kerala,9.42374174818029,76.44953171883013,7.0,Alappuzha,Kerala,32.0,11.0,598.0,Alappuzha,False
Aligarh,Uttar Pradesh,27.92707933792397,78.0793090561671,8.0,Aligarh,Uttar Pradesh,9.0,12.0,143.0,Aligarh,False
Alirajpur,Madhya Pradesh,22.31418024457722,74.36458358174268,9.0,Alirajpur,Madhya Pradesh,23.0,48.0,465.0,Alirajpur,False
Allahabad,Uttar Pradesh,25.299525050714085,81.97168291993609,10.0,Allahabad,Uttar Pradesh,9.0,44.0,175.0,Allahabad,False
Almora,Uttarakhand,29.689426915260874,79.50178547953968,11.0,Almora,Uttarakhand,5.0,9.0,64.0,Almora,False
Alwar,Rajasthan,27.59265490201197,76.6060086376742,12.0,Alwar,Rajasthan,8.0,6.0,104.0,Alwar,False
Ambala,Haryana,30.32869633826384,76.94227084459402,13.0,Ambala,Haryana,6.0,2.0,70.0,Ambala,False
Ambedkar Nagar,Uttar Pradesh,26.420181634903063,82.66850173855383,14.0,Ambedkar Nagar,Uttar Pradesh,9.0,47.0,178.0,Ambedkar Nagar,False
Amravati,Maharashtra,21.188684943985947,77.57167805446147,15.0,Amravati,Maharashtra,27.0,7.0,503.0,Amravati,False
Amreli,Gujarat,21.38491346469528,71.21650575739966,16.0,Amreli,Gujarat,24.0,13.0,480.0,Amreli,False
Amritsar,Punjab,31.70484762798978,74.9005742708566,17.0,Amritsar,Punjab,3.0,15.0,49.0,Amritsar,False
Anand,Gujarat,22.448134251600404,72.77741758301866,18.0,Anand,Gujarat,24.0,15.0,482.0,Anand,False
Anantapur,Andhra Pradesh,14.482049128643329,77.57669972514844,19.0,Anantapur,Andhra Pradesh,28.0,22.0,553.0,Anantapur,False
Anantnag,Jammu & Kashmir,33.816141058311736,75.3575222014778,20.0,Anantnag,Jammu & Kashmir,1.0,14.0,14.0,Anantnag,False
Anjaw,Arunanchal Pradesh,28.06600217175343,96.82868702505031,21.0,Anjaw,Arunanchal Pradesh,12.0,16.0,260.0,Anjaw,False
Anugul,Odisha,20.986960102595383,84.90916080718043,22.0,Anugul,Odisha,21.0,15.0,384.0,Anugul,False
Anuppur,Madhya Pradesh,23.057024127811957,81.68412711167252,23.0,Anuppur,Madhya Pradesh,23.0,44.0,461.0,Anuppur,False
Araria,Bihar,26.199718615243867,87.35433084092533,24.0,Araria,Bihar,10.0,7.0,209.0,Araria,False
Ariyalur,Tamil Nadu,11.160620409143508,79.24425248797971,25.0,Ariyalur,Tamil Nadu,33.0,15.0,616.0,Ariyalur,False
Ashoknagar,Madhya Pradesh,24.6097305448008,77.875177297593,26.0,Ashoknagar,Madhya Pradesh,23.0,42.0,459.0,Ashoknagar,False
Auraiya,Uttar Pradesh,26.66093639692288,79.48278512875295,27.0,Auraiya,Uttar Pradesh,9.0,31.0,162.0,Auraiya,False
Aurangabad,Bihar,24.793161858202733,84.41229097360156,28.0,Aurangabad,Bihar,10.0,33.0,235.0,Aurangabad,False
Aurangabad,Maharashtra,20.022372135856248,75.27357908900201,29.0,Aurangabad,Maharashtra,27.0,19.0,515.0,Aurangabad,False
Azamgarh,Uttar Pradesh,26.047468463789468,83.06968321317174,30.0,Azamgarh,Uttar Pradesh,9.0,60.0,191.0,Azamgarh,False
Badgam,Jammu & Kashmir,33.89014836915406,74.66304064313675,31.0,Badgam,Jammu & Kashmir,1.0,2.0,2.0,Badgam,False
Bagalkot,Karnataka,16.22090049806482,75.62517176277908,32.0,Bagalkot,Karnataka,29.0,2.0,556.0,Bagalkot,False
Bageshwar,Uttarakhand,29.99144771975152,79.85968923036216,33.0,Bageshwar,Uttarakhand,5.0,8.0,63.0,Bageshwar,False
Baghpat,Uttar Pradesh,29.0555132909466,77.31284123126326,34.0,Baghpat,Uttar Pradesh,9.0,8.0,139.0,Baghpat,False
Bahraich,Uttar Pradesh,27.737837561531567,81.45156959804024,35.0,Bahraich,Uttar Pradesh,9.0,49.0,180.0,Bahraich,False
Baksa,Assam,26.66493327857012,91.346497484041,36.0,Baksa,Assam,18.0,25.0,324.0,Baksa,False
Balaghat,Madhya Pradesh,21.88137233094057,80.36075881370567,37.0,Balaghat,Madhya Pradesh,23.0,40.0,457.0,Balaghat,False
Balangir,Odisha,20.590862801257792,83.17397494215,38.0,Balangir,Odisha,21.0,24.0,393.0,Balangir,False
Baleshwar,Odisha,21.490175846342677,86.91734965624593,39.0,Baleshwar,Odisha,21.0,8.0,377.0,Baleshwar,False
Ballia,Uttar Pradesh,25.875589939538823,84.10535383313558,40.0,Ballia,Uttar Pradesh,9.0,62.0,193.0,Ballia,False
Balrampur,Uttar Pradesh,27.48535030489173,82.37758928059372,41.0,Balrampur,Uttar Pradesh,9.0,51.0,182.0,Balrampur,False
Banas Kantha,Gujarat,24.283958392307824,72.03183776457492,42.0,Banas Kantha,Gujarat,24.0,2.0,469.0,Banas Kantha,False
Banda,Uttar Pradesh,25.465514355399456,80.56179929385885,43.0,Banda,Uttar Pradesh,9.0,39.0,170.0,Banda,False
Bandipore,Jammu & Kashmir,34.504272806942645,74.8282170190878,44.0,Bandipore,Jammu & Kashmir,1.0,9.0,9.0,Bandipore,False
Bangalore Rural,Karnataka,13.22576267022119,77.57497614108132,45.0,Bangalore Rural,Karnataka,29.0,29.0,583.0,Bangalore Rural,False
Bangalore,Karnataka,12.95094506761076,77.59592359827768,46.0,Bangalore,Karnataka,29.0,18.0,572.0,Bangalore,False
Banka,Bihar,24.853937851872065,86.84089211877244,47.0,Banka,Bihar,10.0,23.0,225.0,Banka,False
Bankura,West Bengal,23.14153130710338,87.13501648756137,48.0,Bankura,West Bengal,19.0,13.0,339.0,Bankura,False
Banswara,Rajasthan,23.475646129593983,74.36390476863866,49.0,Banswara,Rajasthan,8.0,27.0,125.0,Banswara,False
Bara Banki,Uttar Pradesh,26.939153959480763,81.32730234086621,50.0,Bara Banki,Uttar Pradesh,9.0,45.0,176.0,Bara Banki,False
Bargarh,Odisha,21.220741623911238,83.3537984927443,51.0,Bargarh,Odisha,21.0,1.0,370.0,Bargarh,False
Baramula,Jammu & Kashmir,34.16298630781218,74.46335627297495,52.0,Baramula,Jammu & Kashmir,1.0,8.0,8.0,Baramula,False
Baran,Rajasthan,24.996034617607336,76.75663111162648,53.0,Baran,Rajasthan,8.0,30.0,128.0,Baran,False
Barddhaman,West Bengal,23.42829848287737,87.76738882457471,54.0,Barddhaman,West Bengal,19.0,9.0,335.0,Barddhaman,False
Bareilly,Uttar Pradesh,28.449942776479,79.42232566281356,55.0,Bareilly,Uttar Pradesh,9.0,19.0,150.0,Bareilly,False
Barmer,Rajasthan,25.737398170466456,71.47346992769717,56.0,Barmer,Rajasthan,8.0,17.0,115.0,Barmer,False
Barnala,Punjab,30.39740535003875,75.50480304345388,57.0,Barnala,Punjab,3.0,20.0,54.0,Barnala,False
Barpeta,Assam,26.340410244313563,91.01090946199972,58.0,Barpeta,Assam,18.0,4.0,303.0,Barpeta,False
Barwani,Madhya Pradesh,21.787753812911934,75.02117456266379,59.0,Barwani,Madhya Pradesh,23.0,24.0,441.0,Barwani,False
Bastar,Chhattisgarh,19.42333345799433,81.77005140728022,60.0,Bastar,Chhattisgarh,22.0,15.0,414.0,Bastar,False
Basti,Uttar Pradesh,26.818578395583945,82.63107734261837,61.0,Basti,Uttar Pradesh,9.0,54.0,185.0,Basti,False
Bathinda,Punjab,30.183172426894696,75.04071126507328,62.0,Bathinda,Punjab,3.0,12.0,46.0,Bathinda,False
Bauda,Odisha,20.646945526700293,84.17760929548784,63.0,Bauda,Odisha,21.0,22.0,391.0,Bauda,False
Begusarai,Bihar,25.49543895381757,86.13079675652988,64.0,Begusarai,Bihar,10.0,20.0,222.0,Begusarai,False
Belgaum,Karnataka,16.120582199430974,74.8231354465012,65.0,Belgaum,Karnataka,29.0,1.0,555.0,Belgaum,False
Bellary,Karnataka,15.11002052022031,76.53360104185684,66.0,Bellary,Karnataka,29.0,11.0,565.0,Bellary,False
Betul,Madhya Pradesh,21.878615309268557,77.87107012026414,67.0,Betul,Madhya Pradesh,23.0,30.0,447.0,Betul,False
Bhadrak,Odisha,20.98598271129392,86.62536019692577,68.0,Bhadrak,Odisha,21.0,9.0,378.0,Bhadrak,False
Bhagalpur,Bihar,25.27060278299008,87.08439284507178,69.0,Bhagalpur,Bihar,10.0,22.0,224.0,Bhagalpur,False
Bhandara,Maharashtra,21.129850448460157,79.75085906781024,70.0,Bhandara,Maharashtra,27.0,10.0,506.0,Bhandara,False
Bharatpur,Rajasthan,27.246646566732547,77.2786898364027,71.0,Bharatpur,Rajasthan,8.0,7.0,105.0,Bharatpur,False
Bharuch,Gujarat,21.78679779803894,72.92500482246312,72.0,Bharuch,Gujarat,24.0,21.0,488.0,Bharuch,False
Bhavnagar,Gujarat,21.667571181962654,71.84098427305655,73.0,Bhavnagar,Gujarat,24.0,14.0,481.0,Bhavnagar,False
Bhilwara,Rajasthan,25.480564511188625,74.72897280083095,74.0,Bhilwara,Rajasthan,8.0,24.0,122.0,Bhilwara,False
Bhind,Madhya Pradesh,26.421528973817484,78.72256365414245,75.0,Bhind,Madhya Pradesh,23.0,3.0,420.0,Bhind,False
Bhiwani,Haryana,28.718290726519427,75.96758067264628,76.0,Bhiwani,Haryana,6.0,13.0,81.0,Bhiwani,False
Bhojpur,Bihar,25.46930032101409,84.54372466310073,77.0,Bhojpur,Bihar,10.0,29.0,231.0,Bhojpur,False
Bhopal,Madhya Pradesh,23.4785251988594,77.39605166879443,78.0,Bhopal,Madhya Pradesh,23.0,27.0,444.0,Bhopal,False
Bid,Maharashtra,18.93078077994545,75.86953258892417,79.0,Bid,Maharashtra,27.0,27.0,523.0,Bid,False
Bidar,Karnataka,17.953169852817737,77.22653411762283,80.0,Bidar,Karnataka,29.0,4.0,558.0,Bidar,False
Bijapur,Chhattisgarh,18.84393698203871,80.77603233241211,81.0,Bijapur,Chhattisgarh,22.0,18.0,417.0,Bijapur,False
Bijapur,Karnataka,16.794409306446052,75.95302963353917,82.0,Bijapur,Karnataka,29.0,3.0,557.0,Bijapur,False
Bijnor,Uttar Pradesh,29.38744765410452,78.39873243729114,83.0,Bijnor,Uttar Pradesh,9.0,3.0,134.0,Bijnor,False
Bikaner,Rajasthan,28.180040261631387,73.17766570263343,84.0,Bikaner,Rajasthan,8.0,3.0,101.0,Bikaner,False
Bilaspur,Chhattisgarh,22.35245256930933,81.9616199983178,85.0,Bilaspur,Chhattisgarh,22.0,7.0,406.0,Bilaspur,False
Bilaspur,Himachal Pradesh,31.37243449383531,76.67188990779637,86.0,Bilaspur,Himachal Pradesh,2.0,8.0,30.0,Bilaspur,False
Birbhum,West Bengal,23.954236308456814,87.6666349212322,87.0,Birbhum,West Bengal,19.0,8.0,334.0,Birbhum,False
Bishnupur,Manipur,24.53533696371544,93.80109480100523,88.0,Bishnupur,Manipur,14.0,4.0,275.0,Bishnupur,False
Bokaro,Jharkhand,23.69170171327393,85.98793902026443,89.0,Bokaro,Jharkhand,20.0,10.0,355.0,Bokaro,False
Bongaigaon,Assam,26.365288300961545,90.62481421482978,90.0,Bongaigaon,Assam,18.0,20.0,319.0,Bongaigaon,False
Budaun,Uttar Pradesh,28.115732532018548,78.9450444946557,91.0,Budaun,Uttar Pradesh,9.0,18.0,149.0,Budaun,False
Bulandshahr,Uttar Pradesh,28.357912064823445,78.01224626775488,92.0,Bulandshahr,Uttar Pradesh,9.0,11.0,142.0,Bulandshahr,False
Buldana,Maharashtra,20.512293598870205,76.40837838414899,93.0,Buldana,Maharashtra,27.0,4.0,500.0,Buldana,False
Bundi,Rajasthan,25.470518214591607,75.77763512249237,94.0,Bundi,Rajasthan,8.0,23.0,121.0,Bundi,False
Burhanpur,Madhya Pradesh,21.372230092434467,76.37020667263837,95.0,Burhanpur,Madhya Pradesh,23.0,50.0,467.0,Burhanpur,False
Buxar,Bihar,25.491576751648168,84.10188144893894,96.0,Buxar,Bihar,10.0,30.0,232.0,Buxar,False
Cachar,Assam,24.81166784342313,92.85635406317718,97.0,Cachar,Assam,18.0,17.0,316.0,Cachar,False
Central,NCT of Delhi,28.64311831546951,77.21967450557828,98.0,Central,NCT of Delhi,7.0,6.0,95.0,Central,False
Chamba,Himachal Pradesh,32.678593688194056,76.3542520539072,99.0,Chamba,Himachal Pradesh,2.0,1.0,23.0,Chamba,False
Chamoli,Uttarakhand,30.49656902550316,79.57890780364163,100.0,Chamoli,Uttarakhand,5.0,2.0,57.0,Chamoli,False
Champawat,Uttarakhand,29.299017522310383,80.06972521941,101.0,Champawat,Uttarakhand,5.0,10.0,65.0,Champawat,False
Champhai,Mizoram,23.530158103240638,93.24003336793388,102.0,Champhai,Mizoram,15.0,4.0,284.0,Champhai,False
Chamrajnagar,Karnataka,11.957039505638392,77.09988231196597,103.0,Chamrajnagar,Karnataka,29.0,24.0,578.0,Chamrajnagar,False
Chandauli,Uttar Pradesh,25.138032680384303,83.2611458660541,104.0,Chandauli,Uttar Pradesh,9.0,65.0,196.0,Chandauli,False
Chandel,Manipur,24.235922373244488,94.09329619134655,105.0,Chandel,Manipur,14.0,9.0,280.0,Chandel,False
Chandigarh,Chandigarh,30.730070774991454,76.78146937854117,106.0,Chandigarh,Chandigarh,4.0,1.0,55.0,Chandigarh,False
Chandrapur,Maharashtra,20.11887993528365,79.44389055238354,107.0,Chandrapur,Maharashtra,27.0,13.0,509.0,Chandrapur,False
Changlang,Arunanchal Pradesh,27.363031096866123,96.34542287592576,108.0,Changlang,Arunanchal Pradesh,12.0,9.0,253.0,Changlang,False
Chatra,Jharkhand,24.173868362611596,84.88705150879215,109.0,Chatra,Jharkhand,20.0,2.0,347.0,Chatra,False
Chennai,Tamil Nadu,13.064707574034056,80.25231091569196,110.0,Chennai,Tamil Nadu,33.0,2.0,603.0,Chennai,False
Chhatarpur,Madhya Pradesh,24.79779373995737,79.66670898951497,111.0,Chhatarpur,Madhya Pradesh,23.0,8.0,425.0,Chhatarpur,False
Chhindwara,Madhya Pradesh,22.12249456018392,78.85558728668461,112.0,Chhindwara,Madhya Pradesh,23.0,38.0,455.0,Chhindwara,False
Chikkaballapura,Karnataka,13.578380201851294,77.83618684602374,113.0,Chikkaballapura,Karnataka,29.0,28.0,582.0,Chikkaballapura,False
Chikmagalur,Karnataka,13.4545131075708,75.69144314637256,114.0,Chikmagalur,Karnataka,29.0,16.0,570.0,Chikmagalur,False
Chirang,Assam,26.643100009128432,90.61631058358311,115.0,Chirang,Assam,18.0,21.0,320.0,Chirang,False
Chitradurga,Karnataka,14.16811212486817,76.5165523749845,116.0,Chitradurga,Karnataka,29.0,12.0,566.0,Chitradurga,False
Chitrakoot,Uttar Pradesh,25.20535233502397,81.08962989105333,117.0,Chitrakoot,Uttar Pradesh,9.0,40.0,171.0,Chitrakoot,False
Chittaurgarh,Rajasthan,24.82915151853261,74.779937431142,118.0,Chittaurgarh,Rajasthan,8.0,28.0,126.0,Chittaurgarh,False
Chittoor,Andhra Pradesh,13.467747404456594,79.01442306359817,119.0,Chittoor,Andhra Pradesh,28.0,23.0,554.0,Chittoor,False
Churachandpur,Manipur,24.290049737720437,93.42685614369,120.0,Churachandpur,Manipur,14.0,3.0,274.0,Churachandpur,False
Churu,Rajasthan,28.34750244180311,74.69931813389731,121.0,Churu,Rajasthan,8.0,4.0,102.0,Churu,False
Coimbatore,Tamil Nadu,10.87497967171246,76.97557548386095,122.0,Coimbatore,Tamil Nadu,33.0,31.0,632.0,Coimbatore,False
Cuddalore,Tamil Nadu,11.53513917083165,79.4509179821038,123.0,Cuddalore,Tamil Nadu,33.0,16.0,617.0,Cuddalore,False
Y.s.r.,Andhra Pradesh,14.460670449303343,78.78336331650993,124.0,Y.s.r.,Andhra Pradesh,28.0,20.0,551.0,Y.s.r.,False
Cuttack,Odisha,20.44972735945809,85.70570635958352,125.0,Cuttack,Odisha,21.0,12.0,381.0,Cuttack,False
Dadra & Nagar Haveli,Dadara & Nagar Havelli,20.195104609590853,73.07064314824022,599.0,Valsad,Gujarat,24.0,24.0,491.0,Valsad,False
Dakshin Bastar Dantewada,Chhattisgarh,18.50112926165689,81.37976236832053,127.0,Dakshin Bastar Dantewada,Chhattisgarh,22.0,17.0,416.0,Dakshin Bastar Dantewada,False
Dakshin Dinajpur,West Bengal,25.36412421985176,88.58812027956063,128.0,Dakshin Dinajpur,West Bengal,19.0,5.0,331.0,Dakshin Dinajpur,False
Dakshina Kannada,Karnataka,12.838388239827369,75.26659271837093,129.0,Dakshina Kannada,Karnataka,29.0,21.0,575.0,Dakshina Kannada,False
Daman,Daman & Diu,20.41407213114004,72.85235391809138,130.0,Daman,Daman & Diu,25.0,2.0,495.0,Daman,False
Damoh,Madhya Pradesh,23.81392154227219,79.5273650292071,131.0,Damoh,Madhya Pradesh,23.0,11.0,428.0,Damoh,False
Darbhanga,Bihar,26.11398381030758,86.02517421942665,132.0,Darbhanga,Bihar,10.0,13.0,215.0,Darbhanga,False
Darjiling,West Bengal,26.91390661658812,88.39479434246262,133.0,Darjiling,West Bengal,19.0,1.0,327.0,Darjiling,False
Darrang,Assam,26.44941972744641,92.03749520971634,134.0,Darrang,Assam,18.0,26.0,325.0,Darrang,False
Data Not Available,Jammu & Kashmir,35.5449190342943,74.9041799487303,135.0,Data Not Available,Jammu & Kashmir,99.0,99.0,0.0,Data Not Available,False
Datia,Madhya Pradesh,25.85088380570742,78.56889286706094,136.0,Datia,Madhya Pradesh,23.0,5.0,422.0,Datia,False
Davanagere,Karnataka,14.40847495016166,75.95486475646149,137.0,Davanagere,Karnataka,29.0,13.0,567.0,Davanagere,False
Debagarh,Odisha,21.466117464258875,84.80370992597086,138.0,Debagarh,Odisha,21.0,4.0,373.0,Debagarh,False
Dehradun,Uttarakhand,30.46448321687124,77.97302618772767,139.0,Dehradun,Uttarakhand,5.0,5.0,60.0,Dehradun,False
Deoghar,Jharkhand,24.328189845226927,86.74110581034603,140.0,Deoghar,Jharkhand,20.0,5.0,350.0,Deoghar,False
Deoria,Uttar Pradesh,26.4230216824067,83.83650503463018,141.0,Deoria,Uttar Pradesh,9.0,59.0,190.0,Deoria,False
Dewas,Madhya Pradesh,22.7457111664531,76.45617936646056,142.0,Dewas,Madhya Pradesh,23.0,20.0,437.0,Dewas,False
Dhalai,Tripura,23.843471657292145,91.92589326358488,143.0,Dhalai,Tripura,16.0,3.0,291.0,Dhalai,False
Dhamtari,Chhattisgarh,20.55671274089939,81.81034180647396,144.0,Dhamtari,Chhattisgarh,22.0,13.0,412.0,Dhamtari,False
Dhanbad,Jharkhand,23.82936227390713,86.47191897567325,145.0,Dhanbad,Jharkhand,20.0,9.0,354.0,Dhanbad,False
Dhar,Madhya Pradesh,22.498204929206963,75.10429175991125,146.0,Dhar,Madhya Pradesh,23.0,21.0,438.0,Dhar,False
Dharmapuri,Tamil Nadu,12.09700425388268,78.19574183731598,147.0,Dharmapuri,Tamil Nadu,33.0,29.0,630.0,Dharmapuri,False
Dharwad,Karnataka,15.389546187999912,75.15385873096292,148.0,Dharwad,Karnataka,29.0,8.0,562.0,Dharwad,False
Dhaulpur,Rajasthan,26.681043129600607,77.70355842152902,149.0,Dhaulpur,Rajasthan,8.0,8.0,106.0,Dhaulpur,False
Dhemaji,Assam,27.57805644471128,94.77820021736387,150.0,Dhemaji,Assam,18.0,9.0,308.0,Dhemaji,False
Dhenkanal,Odisha,20.82646786678984,85.52621814965923,151.0,Dhenkanal,Odisha,21.0,14.0,383.0,Dhenkanal,False
Dhubri,Assam,26.06800876298772,90.02250016589068,152.0,Dhubri,Assam,18.0,2.0,301.0,Dhubri,False
Dhule,Maharashtra,21.11038286183689,74.60125920093256,153.0,Dhule,Maharashtra,27.0,2.0,498.0,Dhule,False
Dibang Valley,Arunanchal Pradesh,28.9519484959164,95.90281193599571,154.0,Dibang Valley,Arunanchal Pradesh,12.0,13.0,257.0,Dibang Valley,False
Dibrugarh,Assam,27.36671291850649,95.0561791383491,155.0,Dibrugarh,Assam,18.0,11.0,310.0,Dibrugarh,False
Dindigul,Tamil Nadu,10.389894341752631,77.82004096153759,156.0,Dindigul,Tamil Nadu,33.0,11.0,612.0,Dindigul,False
Dindori,Madhya Pradesh,22.88947906097537,81.05575827465907,157.0,Dindori,Madhya Pradesh,23.0,36.0,453.0,Dindori,False
Diu,Daman & Diu,20.720892837252865,70.93987017773297,158.0,Diu,Daman & Diu,25.0,1.0,494.0,Diu,False
Doda,Jammu & Kashmir,33.10105174675616,75.64952465925822,159.0,Doda,Jammu & Kashmir,1.0,16.0,16.0,Doda,False
Dohad,Gujarat,22.857654265418468,74.11597145381955,160.0,Dohad,Gujarat,24.0,18.0,485.0,Dohad,False
